filename,similarity
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1131.jpg,178.6
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1217.jpg,180.41
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0722.jpg,181.61
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0485.jpg,181.64
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1142.jpg,183.25
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0705.jpg,183.57
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1176.jpg,183.59
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0174.jpg,185.42
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0139.jpg,185.72
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0901.jpg,186.28
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1053.jpg,186.57
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0159.jpg,187.61
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0257.jpg,188.65
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0881.jpg,188.98
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0503.jpg,189.34
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0207.jpg,189.63
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0576.jpg,190.01
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0785.jpg,190.63
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0900.jpg,190.89
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1235.jpg,191.08
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0296.jpg,191.15
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0018.jpg,191.45
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0754.jpg,191.46
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0127.jpg,193.1
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0918.jpg,194.01
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0760.jpg,194.17
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1184.jpg,194.21
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0928.jpg,194.76
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0020.jpg,195.29
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0914.jpg,196.27
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1231.jpg,198.04
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1249.jpg,199.74
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0030.jpg,199.75
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1200.jpg,199.99
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1126.jpg,200.35
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1162.jpg,201.18
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1058.jpg,201.31
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1236.jpg,201.61
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1018.jpg,201.94
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0006.jpg,202.01
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0892.jpg,202.81
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1124.jpg,202.83
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1223.jpg,203.35
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0534.jpg,203.35
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1286.jpg,204.62
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1207.jpg,204.75
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1198.jpg,204.9
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1133.jpg,205.17
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0083.jpg,206.62
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1277.jpg,206.95
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0333.jpg,208.0
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0575.jpg,208.14
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1140.jpg,208.29
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0829.jpg,208.44
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0993.jpg,208.5
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0741.jpg,211.69
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0032.jpg,212.47
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1145.jpg,212.85
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0007.jpg,213.4
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0368.jpg,214.3
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0752.jpg,214.55
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0761.jpg,214.85
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0793.jpg,215.26
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0896.jpg,215.64
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0697.jpg,217.44
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0266.jpg,218.5
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0175.jpg,219.2
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0490.jpg,221.81
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1251.jpg,222.88
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1263.jpg,223.16
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1244.jpg,223.19
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0067.jpg,223.64
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0978.jpg,224.87
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1219.jpg,226.26
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0141.jpg,226.41
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0432.jpg,226.86
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0140.jpg,227.29
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1211.jpg,227.83
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0787.jpg,227.88
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0361.jpg,228.34
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1284.jpg,229.96
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1067.jpg,230.62
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0799.jpg,230.63
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1146.jpg,231.73
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0121.jpg,231.87
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1240.jpg,231.89
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0214.jpg,232.19
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1165.jpg,232.77
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0019.jpg,232.96
